Region,Date,Cars
Güneydoğu Anadolu Bölgesi,2017-08-01,5396
Güneydoğu Anadolu Bölgesi,2017-09-01,4798
Güneydoğu Anadolu Bölgesi,2017-10-01,6477
Güneydoğu Anadolu Bölgesi,2017-11-01,6019
Güneydoğu Anadolu Bölgesi,2017-12-01,5362
Güneydoğu Anadolu Bölgesi,2018-01-01,6348
Güneydoğu Anadolu Bölgesi,2018-02-01,3487
Güneydoğu Anadolu Bölgesi,2018-03-01,4839
Güneydoğu Anadolu Bölgesi,2018-04-01,5166
Güneydoğu Anadolu Bölgesi,2018-05-01,4425
Güneydoğu Anadolu Bölgesi,2018-06-01,2830
Güneydoğu Anadolu Bölgesi,2018-07-01,4763
Güneydoğu Anadolu Bölgesi,2018-08-01,3176
Güneydoğu Anadolu Bölgesi,2018-09-01,2550
Güneydoğu Anadolu Bölgesi,2018-10-01,2423
Güneydoğu Anadolu Bölgesi,2018-11-01,3727
Güneydoğu Anadolu Bölgesi,2018-12-01,3509
Güneydoğu Anadolu Bölgesi,2019-01-01,3262
Güneydoğu Anadolu Bölgesi,2019-02-01,1801
Güneydoğu Anadolu Bölgesi,2019-03-01,2839
Güneydoğu Anadolu Bölgesi,2019-04-01,2581
Güneydoğu Anadolu Bölgesi,2019-05-01,2829
Güneydoğu Anadolu Bölgesi,2019-06-01,2183
Güneydoğu Anadolu Bölgesi,2019-07-01,3270
Güneydoğu Anadolu Bölgesi,2019-08-01,2264
Güneydoğu Anadolu Bölgesi,2019-09-01,3116
Güneydoğu Anadolu Bölgesi,2019-10-01,3347
Güneydoğu Anadolu Bölgesi,2019-11-01,3391
Güneydoğu Anadolu Bölgesi,2019-12-01,3209
Karadeniz Bölgesi,2013-11-01,5015
Karadeniz Bölgesi,2013-12-01,3928
Karadeniz Bölgesi,2014-01-01,6366
Karadeniz Bölgesi,2014-02-01,2761
Karadeniz Bölgesi,2014-03-01,3064
Karadeniz Bölgesi,2014-04-01,3674
Karadeniz Bölgesi,2014-05-01,4079
Karadeniz Bölgesi,2014-06-01,3403
Karadeniz Bölgesi,2014-07-01,4833
Karadeniz Bölgesi,2014-08-01,4510
Karadeniz Bölgesi,2014-09-01,4235
Karadeniz Bölgesi,2014-10-01,4387
Karadeniz Bölgesi,2014-11-01,4995
Karadeniz Bölgesi,2014-12-01,4804
Karadeniz Bölgesi,2015-01-01,6853
Karadeniz Bölgesi,2015-02-01,3624
Karadeniz Bölgesi,2015-03-01,5469
Karadeniz Bölgesi,2015-04-01,5965
Karadeniz Bölgesi,2015-05-01,5591
Karadeniz Bölgesi,2015-06-01,4270
Karadeniz Bölgesi,2015-07-01,6323
Karadeniz Bölgesi,2015-08-01,5450
Karadeniz Bölgesi,2015-09-01,4226
Karadeniz Bölgesi,2015-10-01,4241
Karadeniz Bölgesi,2015-11-01,4908
Karadeniz Bölgesi,2015-12-01,6466
Karadeniz Bölgesi,2016-01-01,5786
Karadeniz Bölgesi,2016-02-01,3634
Karadeniz Bölgesi,2016-03-01,5689
Karadeniz Bölgesi,2016-04-01,5625
Karadeniz Bölgesi,2016-05-01,6153
Karadeniz Bölgesi,2016-06-01,5214
Karadeniz Bölgesi,2016-07-01,5304
Karadeniz Bölgesi,2016-08-01,5293
Karadeniz Bölgesi,2016-09-01,4635
Karadeniz Bölgesi,2016-10-01,5426
Karadeniz Bölgesi,2016-11-01,7439
Karadeniz Bölgesi,2016-12-01,6084
Karadeniz Bölgesi,2017-01-01,7513
Karadeniz Bölgesi,2017-02-01,3493
Karadeniz Bölgesi,2017-03-01,6918
Karadeniz Bölgesi,2017-04-01,5904
Karadeniz Bölgesi,2017-05-01,5822
Karadeniz Bölgesi,2017-06-01,4717
Karadeniz Bölgesi,2017-07-01,7113
Karadeniz Bölgesi,2017-08-01,5646
Karadeniz Bölgesi,2017-09-01,4747
Karadeniz Bölgesi,2017-10-01,6017
Karadeniz Bölgesi,2017-11-01,5751
Karadeniz Bölgesi,2017-12-01,5526
Karadeniz Bölgesi,2018-01-01,6059
Karadeniz Bölgesi,2018-02-01,3413
Karadeniz Bölgesi,2018-03-01,4643
Karadeniz Bölgesi,2018-04-01,4452
Karadeniz Bölgesi,2018-05-01,4764
Karadeniz Bölgesi,2018-06-01,3536
Karadeniz Bölgesi,2018-07-01,4756
Karadeniz Bölgesi,2018-08-01,3137
Karadeniz Bölgesi,2018-09-01,2477
Karadeniz Bölgesi,2018-10-01,2087
Karadeniz Bölgesi,2018-11-01,3873
Karadeniz Bölgesi,2018-12-01,3144
Karadeniz Bölgesi,2019-01-01,3302
Karadeniz Bölgesi,2019-02-01,1880
Karadeniz Bölgesi,2019-03-01,2970
Karadeniz Bölgesi,2019-04-01,2581
Karadeniz Bölgesi,2019-05-01,2973
Karadeniz Bölgesi,2019-06-01,2310
Karadeniz Bölgesi,2019-07-01,3191
Karadeniz Bölgesi,2019-08-01,2178
Karadeniz Bölgesi,2019-09-01,2697
Karadeniz Bölgesi,2019-10-01,3598
Karadeniz Bölgesi,2019-11-01,3708
Karadeniz Bölgesi,2019-12-01,3570
Marmara Bölgesi,2013-11-01,44424
Marmara Bölgesi,2013-12-01,38817
Marmara Bölgesi,2014-01-01,59316
Marmara Bölgesi,2014-02-01,23931
Marmara Bölgesi,2014-03-01,29461
Marmara Bölgesi,2014-04-01,36893
Marmara Bölgesi,2014-05-01,40416
Marmara Bölgesi,2014-06-01,36205
Marmara Bölgesi,2014-07-01,54610
Marmara Bölgesi,2014-08-01,39199
Marmara Bölgesi,2014-09-01,42797
Marmara Bölgesi,2014-10-01,43387
Marmara Bölgesi,2014-11-01,44558
Marmara Bölgesi,2014-12-01,45889
Marmara Bölgesi,2015-01-01,66314
Marmara Bölgesi,2015-02-01,30058
Marmara Bölgesi,2015-03-01,51385
Marmara Bölgesi,2015-04-01,57103
Marmara Bölgesi,2015-05-01,53263
Marmara Bölgesi,2015-06-01,45214
Marmara Bölgesi,2015-07-01,72612
Marmara Bölgesi,2015-08-01,52511
Marmara Bölgesi,2015-09-01,40487
Marmara Bölgesi,2015-10-01,40298
Marmara Bölgesi,2015-11-01,47538
Marmara Bölgesi,2015-12-01,60913
Marmara Bölgesi,2016-01-01,54377
Marmara Bölgesi,2016-02-01,32862
Marmara Bölgesi,2016-03-01,50617
Marmara Bölgesi,2016-04-01,56234
Marmara Bölgesi,2016-05-01,59432
Marmara Bölgesi,2016-06-01,62945
Marmara Bölgesi,2016-07-01,44822
Marmara Bölgesi,2016-08-01,43919
Marmara Bölgesi,2016-09-01,36834
Marmara Bölgesi,2016-10-01,46764
Marmara Bölgesi,2016-11-01,62092
Marmara Bölgesi,2016-12-01,48402
Marmara Bölgesi,2017-01-01,60614
Marmara Bölgesi,2017-02-01,31491
Marmara Bölgesi,2017-03-01,46680
Marmara Bölgesi,2017-04-01,46668
Marmara Bölgesi,2017-05-01,55702
Marmara Bölgesi,2017-06-01,51061
Marmara Bölgesi,2017-07-01,62970
Marmara Bölgesi,2017-08-01,52686
Marmara Bölgesi,2017-09-01,39896
Marmara Bölgesi,2017-10-01,52593
Marmara Bölgesi,2017-11-01,53955
Marmara Bölgesi,2017-12-01,51447
Marmara Bölgesi,2018-01-01,60145
Marmara Bölgesi,2018-02-01,31016
Marmara Bölgesi,2018-03-01,47654
Marmara Bölgesi,2018-04-01,49721
Marmara Bölgesi,2018-05-01,50106
Marmara Bölgesi,2018-06-01,31610
Marmara Bölgesi,2018-07-01,46060
Marmara Bölgesi,2018-08-01,31070
Marmara Bölgesi,2018-09-01,20038
Marmara Bölgesi,2018-10-01,16306
Marmara Bölgesi,2018-11-01,28776
Marmara Bölgesi,2018-12-01,25965
Marmara Bölgesi,2019-01-01,31628
Marmara Bölgesi,2019-02-01,14794
Marmara Bölgesi,2019-03-01,26403
Marmara Bölgesi,2019-04-01,25320
Marmara Bölgesi,2019-05-01,25904
Marmara Bölgesi,2019-06-01,20100
Marmara Bölgesi,2019-07-01,33031
Marmara Bölgesi,2019-08-01,16617
Marmara Bölgesi,2019-09-01,23758
Marmara Bölgesi,2019-10-01,32085
Marmara Bölgesi,2019-11-01,31656
Marmara Bölgesi,2019-12-01,31894
İç Anadolu Bölgesi,2013-11-01,12288
İç Anadolu Bölgesi,2013-12-01,10765
İç Anadolu Bölgesi,2014-01-01,16325
İç Anadolu Bölgesi,2014-02-01,6613
İç Anadolu Bölgesi,2014-03-01,8386
İç Anadolu Bölgesi,2014-04-01,8878
İç Anadolu Bölgesi,2014-05-01,9151
İç Anadolu Bölgesi,2014-06-01,8246
İç Anadolu Bölgesi,2014-07-01,12318
İç Anadolu Bölgesi,2014-08-01,11621
İç Anadolu Bölgesi,2014-09-01,11158
İç Anadolu Bölgesi,2014-10-01,10690
İç Anadolu Bölgesi,2014-11-01,12133
İç Anadolu Bölgesi,2014-12-01,12402
İç Anadolu Bölgesi,2015-01-01,17824
İç Anadolu Bölgesi,2015-02-01,9341
İç Anadolu Bölgesi,2015-03-01,14064
İç Anadolu Bölgesi,2015-04-01,14983
İç Anadolu Bölgesi,2015-05-01,13649
İç Anadolu Bölgesi,2015-06-01,9824
İç Anadolu Bölgesi,2015-07-01,16259
İç Anadolu Bölgesi,2015-08-01,14246
İç Anadolu Bölgesi,2015-09-01,11043
İç Anadolu Bölgesi,2015-10-01,11541
İç Anadolu Bölgesi,2015-11-01,12555
İç Anadolu Bölgesi,2015-12-01,17302
İç Anadolu Bölgesi,2016-01-01,14848
İç Anadolu Bölgesi,2016-02-01,8822
İç Anadolu Bölgesi,2016-03-01,13655
İç Anadolu Bölgesi,2016-04-01,12772
İç Anadolu Bölgesi,2016-05-01,14740
İç Anadolu Bölgesi,2016-06-01,13463
İç Anadolu Bölgesi,2016-07-01,10405
İç Anadolu Bölgesi,2016-08-01,13189
İç Anadolu Bölgesi,2016-09-01,11283
İç Anadolu Bölgesi,2016-10-01,13556
İç Anadolu Bölgesi,2016-11-01,18415
İç Anadolu Bölgesi,2016-12-01,13645
İç Anadolu Bölgesi,2017-01-01,18732
İç Anadolu Bölgesi,2017-02-01,8688
İç Anadolu Bölgesi,2017-03-01,14243
İç Anadolu Bölgesi,2017-04-01,12614
İç Anadolu Bölgesi,2017-05-01,13510
İç Anadolu Bölgesi,2017-06-01,10365
İç Anadolu Bölgesi,2017-07-01,16302
İç Anadolu Bölgesi,2017-08-01,14134
İç Anadolu Bölgesi,2017-09-01,11620
İç Anadolu Bölgesi,2017-10-01,15559
İç Anadolu Bölgesi,2017-11-01,14396
İç Anadolu Bölgesi,2017-12-01,13642
İç Anadolu Bölgesi,2018-01-01,15230
İç Anadolu Bölgesi,2018-02-01,8370
İç Anadolu Bölgesi,2018-03-01,12933
İç Anadolu Bölgesi,2018-04-01,12218
İç Anadolu Bölgesi,2018-05-01,13103
İç Anadolu Bölgesi,2018-06-01,7328
İç Anadolu Bölgesi,2018-07-01,12946
İç Anadolu Bölgesi,2018-08-01,7951
İç Anadolu Bölgesi,2018-09-01,5606
İç Anadolu Bölgesi,2018-10-01,4995
İç Anadolu Bölgesi,2018-11-01,10335
İç Anadolu Bölgesi,2018-12-01,7842
İç Anadolu Bölgesi,2019-01-01,10906
İç Anadolu Bölgesi,2019-02-01,4926
İç Anadolu Bölgesi,2019-03-01,8752
İç Anadolu Bölgesi,2019-04-01,7309
İç Anadolu Bölgesi,2019-05-01,6899
İç Anadolu Bölgesi,2019-06-01,4000
İç Anadolu Bölgesi,2019-07-01,8795
İç Anadolu Bölgesi,2019-08-01,4928
İç Anadolu Bölgesi,2019-09-01,6716
İç Anadolu Bölgesi,2019-10-01,9058
İç Anadolu Bölgesi,2019-11-01,9258
İç Anadolu Bölgesi,2019-12-01,8138
