Date,WoWChange%
2015-06-29,"0,89%"
2015-07-06,"-0,81%"
2015-07-13,"-0,53%"
2015-07-20,"3,21%"
2015-07-27,"1,22%"
2015-08-03,"0,33%"
2015-08-10,"1,94%"
2015-08-17,"2,99%"
2015-08-24,"0,17%"
2015-08-31,"2,86%"
2015-09-07,"1,30%"
2015-09-14,"-1,36%"
2015-09-21,"1,39%"
2015-09-28,"-1,84%"
2015-10-05,"-2,63%"
2015-10-12,"-0,69%"
2015-10-19,"0,56%"
2015-10-26,"0,25%"
2015-11-02,"0,01%"
2015-11-09,"-1,77%"
2015-11-16,"-1,12%"
2015-11-23,"3,28%"
2015-11-30,"-1,01%"
2015-12-07,"2,99%"
2015-12-14,"-2,44%"
2015-12-21,"0,49%"
2015-12-28,"-0,31%"
2016-01-04,"3,69%"
2016-01-11,"0,89%"
2016-01-18,"-1,46%"
2016-01-25,"-1,61%"
2016-02-01,"-1,08%"
2016-02-08,"0,21%"
2016-02-15,"0,75%"
2016-02-22,"1,39%"
2016-02-29,"-2,82%"
2016-03-07,"-1,42%"
2016-03-14,"0,02%"
2016-03-21,"0,30%"
2016-03-28,"-1,88%"
2016-04-04,"0,96%"
2016-04-11,"0,19%"
2016-04-18,"-0,20%"
2016-04-25,"-1,87%"
2016-05-02,"4,71%"
2016-05-09,"1,47%"
2016-05-16,"0,20%"
2016-05-23,"-0,63%"
2016-05-30,"-1,85%"
2016-06-06,"0,91%"
2016-06-13,"-0,07%"
2016-06-20,"0,07%"
2016-06-27,"-0,93%"
2016-07-04,"-0,37%"
2016-07-11,"4,44%"
2016-07-18,"1,50%"
2016-07-25,"-2,50%"
2016-08-01,"0,35%"
2016-08-08,"-1,31%"
2016-08-15,"-1,02%"
2016-08-22,"0,84%"
2016-08-29,"-0,10%"
2016-09-05,"0,41%"
2016-09-12,"0,60%"
2016-09-19,"-0,46%"
2016-09-26,"1,08%"
2016-10-03,"1,73%"
2016-10-10,"1,29%"
2016-10-17,"-0,29%"
2016-10-24,"0,83%"
2016-10-31,"1,61%"
2016-11-07,"3,02%"
2016-11-14,"3,79%"
2016-11-21,"2,12%"
2016-11-28,"2,10%"
2016-12-05,"-0,91%"
2016-12-12,"0,57%"
2016-12-19,"0,29%"
2016-12-26,"0,31%"
2017-01-02,"3,31%"
2017-01-09,"2,15%"
2017-01-16,"1,14%"
2017-01-23,"2,97%"
2017-01-30,"-4,64%"
2017-02-06,"-0,06%"
2017-02-13,"-1,79%"
2017-02-20,"-0,61%"
2017-02-27,"2,66%"
2017-03-06,"0,73%"
2017-03-13,"-2,56%"
2017-03-20,"-0,65%"
2017-03-27,"0,68%"
2017-04-03,"2,61%"
2017-04-10,"0,08%"
2017-04-17,"-2,48%"
2017-04-24,"-2,43%"
2017-05-01,"-0,21%"
2017-05-08,"0,82%"
2017-05-15,"0,03%"
2017-05-22,"0,07%"
2017-05-29,"-1,90%"
2017-06-05,"0,79%"
2017-06-12,"-0,98%"
2017-06-19,"0,17%"
2017-06-26,"0,36%"
2017-07-03,"2,76%"
2017-07-10,"-2,21%"
2017-07-17,"-0,05%"
2017-07-24,"-0,24%"
2017-07-31,"0,00%"
2017-08-07,"0,25%"
2017-08-14,"-0,51%"
2017-08-21,"-2,26%"
2017-08-28,"-0,31%"
2017-09-04,"-0,49%"
2017-09-11,"0,76%"
2017-09-18,"1,71%"
2017-09-25,"1,93%"
2017-10-02,"1,44%"
2017-10-09,"0,55%"
2017-10-16,"1,00%"
2017-10-23,"3,19%"
2017-10-30,"2,58%"
2017-11-06,"-0,63%"
2017-11-13,"0,35%"
2017-11-20,"1,76%"
2017-11-27,"-0,77%"
2017-12-04,"-1,95%"
2017-12-11,"0,60%"
2017-12-18,"-1,19%"
2017-12-25,"-0,63%"
2018-01-01,"-1,45%"
2018-01-08,"0,31%"
2018-01-15,"1,59%"
2018-01-22,"-1,39%"
2018-01-29,"0,49%"
2018-02-05,"1,36%"
2018-02-12,"-1,97%"
2018-02-19,"1,11%"
2018-02-26,"0,48%"
2018-03-05,"0,11%"
2018-03-12,"2,85%"
2018-03-19,"1,60%"
2018-03-26,"-0,68%"
2018-04-02,"2,24%"
2018-04-09,"1,31%"
2018-04-16,"-0,50%"
2018-04-23,"-0,84%"
2018-04-30,"4,50%"
2018-05-07,"2,12%"
2018-05-14,"4,13%"
2018-05-21,"4,80%"
2018-05-28,"-1,20%"
2018-06-04,"-3,80%"
2018-06-11,"5,73%"
2018-06-18,"-1,12%"
2018-06-25,"-1,93%"
2018-07-02,"-0,41%"
2018-07-09,"6,28%"
2018-07-16,"-1,29%"
2018-07-23,"1,26%"
2018-07-30,"4,71%"
2018-08-06,"26,49%"
2018-08-13,"-6,45%"
2018-08-20,"-0,12%"
2018-08-27,"8,55%"
2018-09-03,"-2,09%"
2018-09-10,"-3,33%"
2018-09-17,"1,98%"
2018-09-24,"-3,76%"
2018-10-01,"1,28%"
2018-10-08,"-4,26%"
2018-10-15,"-3,91%"
2018-10-22,"-0,88%"
2018-10-29,"-2,92%"
2018-11-05,"0,57%"
2018-11-12,"-2,36%"
2018-11-19,"-0,83%"
2018-11-26,"-1,41%"
2018-12-03,"1,73%"
2018-12-10,"1,14%"
2018-12-17,"-0,85%"
2018-12-24,"-0,86%"
2018-12-31,"1,11%"
2019-01-07,"2,29%"
2019-01-14,"-2,29%"
2019-01-21,"-1,12%"
2019-01-28,"-1,15%"
2019-02-04,"0,75%"
2019-02-11,"0,46%"
2019-02-18,"0,90%"
2019-02-25,"1,05%"
2019-03-04,"0,98%"
2019-03-11,"0,36%"
2019-03-18,"5,80%"
2019-03-25,"-3,84%"
2019-04-01,"1,53%"
2019-04-08,"2,54%"
2019-04-15,"0,73%"
2019-04-22,"2,19%"
2019-04-29,"0,27%"
2019-05-06,"0,38%"
2019-05-13,"1,31%"
2019-05-20,"0,45%"
2019-05-27,"-4,02%"
2019-06-03,"-0,12%"
2019-06-10,"1,21%"
2019-06-17,"-1,36%"
2019-06-24,"-0,57%"
2019-07-01,"-2,76%"
2019-07-08,"1,43%"
2019-07-15,"-0,96%"
2019-07-22,"0,31%"
2019-07-29,"-1,98%"
2019-08-05,"-1,22%"
2019-08-12,"1,58%"
2019-08-19,"3,25%"
2019-08-26,"1,23%"
2019-09-02,"-1,97%"
2019-09-09,"-0,51%"
2019-09-16,"1,02%"
2019-09-23,"-1,27%"
2019-09-30,"0,45%"
2019-10-07,"3,30%"
2019-10-14,"-1,57%"
2019-10-21,"-0,30%"
2019-10-28,"-1,30%"
2019-11-04,"1,17%"
2019-11-11,"-0,37%"
2019-11-18,"-0,56%"
2019-11-25,"0,59%"
2019-12-02,"0,52%"
2019-12-09,"0,55%"
2019-12-16,"2,21%"
2019-12-23,"0,23%"
2019-12-30,"0,37%"
